ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,report_date
MRO,Marathon Oil Corporation,2014-11-03T00:00:00.000Z,TNS,0.59,0.76,27.95,EDT,0,EQUITY,2014-11-03
MRO,Marathon Oil Corporation,2015-02-18T00:00:00.000Z,TNS,0.03,0.0,-100.0,EDT,0,EQUITY,2015-02-18
MRO,Marathon Oil Corporation,2015-05-06T00:00:00.000Z,TNS,-0.45,-0.37,17.78,EDT,0,EQUITY,2015-05-06
MRO,Marathon Oil Corporation,2015-08-05T00:00:00.000Z,TNS,-0.23,-0.23,0.43,EDT,0,EQUITY,2015-08-05
MRO,Marathon Oil Corporation,2015-11-04T00:00:00.000Z,TNS,-0.4,-0.2,50.25,EDT,0,EQUITY,2015-11-04
MRO,Marathon Oil Corporation,2016-02-17T00:00:00.000Z,TNS,-0.47,-0.48,-1.05,EDT,0,EQUITY,2016-02-17
MRO,Marathon Oil Corporation,2016-05-04T00:00:00.000Z,TNS,-0.46,-0.43,6.52,EDT,0,EQUITY,2016-05-04
MRO,Marathon Oil Corporation,2016-08-03T00:00:00.000Z,TNS,-0.24,-0.23,6.12,EDT,0,EQUITY,2016-08-03
MRO,Marathon Oil Corporation,2016-11-02T00:00:00.000Z,TNS,-0.2,-0.11,44.44,EDT,0,EQUITY,2016-11-02
MRO,Marathon Oil Corporation,2017-02-15T00:00:00.000Z,TNS,-0.15,-0.1,31.51,EDT,0,EQUITY,2017-02-15
MRO,Marathon Oil Corporation,2017-05-04T00:00:00.000Z,TNS,-0.1,-0.07,27.08,EDT,0,EQUITY,2017-05-04
MRO,Marathon Oil Corporation,2017-08-02T00:00:00.000Z,TNS,-0.15,-0.17,-16.44,EDT,0,EQUITY,2017-08-02
MRO,Marathon Oil Corporation,2017-11-01T00:00:00.000Z,TNS,-0.13,-0.08,39.85,EDT,0,EQUITY,2017-11-01
MRO,Marathon Oil Corporation,2018-02-14T00:00:00.000Z,TNS,0.01,0.07,677.78,EDT,0,EQUITY,2018-02-14
MRO,Marathon Oil Corporation,2018-05-02T00:00:00.000Z,TNS,0.14,0.18,28.57,EDT,0,EQUITY,2018-05-02
MRO,Marathon Oil Corporation,2018-08-01T00:00:00.000Z,TNS,0.2,0.15,-25.74,EDT,0,EQUITY,2018-08-01
MRO,Marathon Oil Corporation,2018-11-07T00:00:00.000Z,TNS,0.21,0.24,15.94,EDT,0,EQUITY,2018-11-07
MRO,Marathon Oil Corporation,2019-02-13T00:00:00.000Z,TNS,0.14,0.15,4.17,EDT,0,EQUITY,2019-02-13
MRO,Marathon Oil Corporation,2019-05-01T00:00:00.000Z,TNS,0.07,0.31,324.66,EDT,0,EQUITY,2019-05-01
MRO,Marathon Oil Corporation,2019-08-07T00:00:00.000Z,TNS,0.13,0.23,76.92,EDT,0,EQUITY,2019-08-07
MRO,Marathon Oil Corporation,2019-11-06T00:00:00.000Z,TNS,0.06,0.14,125.81,EDT,0,EQUITY,2019-11-06
MRO,Marathon Oil Corporation,2020-02-12T00:00:00.000Z,TNS,0.1,0.07,-32.69,EDT,0,EQUITY,2020-02-12
MRO,Marathon Oil Corporation,2020-05-06T00:00:00.000Z,TNS,-0.14,-0.16,-11.89,EDT,0,EQUITY,2020-05-06
MRO,Marathon Oil Corporation,2020-08-05T00:00:00.000Z,TNS,-0.63,-0.6,5.21,EDT,0,EQUITY,2020-08-05
MRO,Marathon Oil Corporation,2020-11-04T00:00:00.000Z,TNS,-0.28,-0.28,-1.45,EDT,0,EQUITY,2020-11-04
